query,lat,lon
1 BEACH RD,1.303671350608798,103.8644786609251
1 BEDOK STH AVE 1,1.320852086897327,103.9337210914409
1 CHAI CHEE RD,1.327968791763013,103.9227160181387
1 CHANGI VILLAGE RD,1.388546562290224,103.9878045034823
1 DELTA AVE,1.292075250843113,103.8285840776252
1 DOVER RD,1.302529947349503,103.7832716624587
1 EVERTON PK,1.277426542886967,103.8400011880947
1 GHIM MOH RD,1.312879756843084,103.786855017635
1 HAIG RD,1.31129091152627,103.8977034326513
1 HOUGANG AVE 3,1.364130973492217,103.8930013238493
1 JLN BT MERAH,1.286453540301748,103.8082424004174
1 KG KAYU RD,1.303557696756296,103.8837964131175
1 LOR 7 TOA PAYOH,1.339430335433584,103.8534427909913
1 LOR LEW LIAN,1.350867126469491,103.8753439396719
1 MARINE TER,1.304829021877793,103.918614976369
1 MARSILING DR,1.440671098602458,103.7757399452122
1 PINE CL,1.307870562194085,103.883192164927
1 QUEEN'S RD,1.317266295243593,103.8067828775238
1 ST. GEORGE'S RD,1.323402636940696,103.8616308008301
1 TECK WHYE AVE,1.382538828619561,103.7517109056778
1 TELOK BLANGAH CRES,1.279456600773305,103.8178975619854
1 TG PAGAR PLAZA,1.275688475114961,103.8424334499832
1 TOH YI DR,1.339581558770648,103.7745863189453
10 CHAI CHEE RD,1.327275723660216,103.9248035992805
10 EUNOS CRES,1.322286558630672,103.902720513959
10 GLOUCESTER RD,1.313916587219659,103.8522097697389
10 HAIG RD,1.314839501762697,103.8958651697391
10 HOLLAND AVE,1.308149971047925,103.7942751849253
10 JLN BATU,1.302044882524626,103.8828871483249
10 JLN BT HO SWEE,1.287458370201881,103.832675765986
10 JLN KUKOH,1.286973834439803,103.8390758234829
10 JLN RUMAH TINGGI,1.288200188804634,103.8083693874325
10 JOO SENG RD,1.334618333770964,103.8801650225196
10 LOR 7 TOA PAYOH,1.337165275770826,103.8572288079134
10 MARSILING DR,1.440805674187186,103.7773185699961
10 PINE CL,1.309152394298361,103.8822425242915
10 SELEGIE RD,1.303708794013964,103.8505372387465
10 ST. GEORGE'S RD,1.323746488150588,103.8634121508462
10 TECK WHYE AVE,1.380470546472359,103.7552110771688
10 TELOK BLANGAH CRES,1.277731531905598,103.8197694313528
10 TOH YI DR,1.33753956576434,103.7731610663885
100 BEDOK NTH AVE 4,1.334138999740372,103.9383897130026
100 C'WEALTH CRES,1.307705276444598,103.8012724762627
100 LOR 1 TOA PAYOH,1.339564005178829,103.8485857138171
100 WHAMPOA DR,1.320779477352012,103.8543487399214
101 AH HOOD RD,1.327396789724657,103.8444810220202
101 ALJUNIED CRES,1.320922753305813,103.8833519670451
101 ANG MO KIO AVE 3,1.370261583884868,103.8394678988974
101 BEDOK NTH AVE 4,1.334484667124011,103.9379247109687
101 BEDOK RESERVOIR RD,1.328449133019867,103.9099373965991
101 BISHAN ST 12,1.344859158281522,103.8484007651851
101 BT BATOK WEST AVE 6,1.346706360931492,103.7469206630381
101 BT PURMEI RD,1.271462565564443,103.8256835455669
101 C'WEALTH CRES,1.308051592313266,103.8008428144128
101 CLEMENTI ST 14,1.322089367576946,103.7689334124892
101 GANGSA RD,1.379164316336368,103.7674392862212
101 HENDERSON CRES,1.290717997515392,103.8216252077363
101 HOUGANG AVE 1,1.354937478005636,103.891360573947
101 JLN RAJAH,1.328714783929596,103.8505453210323
101 JURONG EAST ST 13,1.337011007622944,103.7387873140984
101 LENGKONG TIGA,1.325159833820878,103.9108888193314
101 PASIR RIS ST 12,1.367050215166123,103.9581818570388
101 POTONG PASIR AVE 1,1.333157101232375,103.8683803989219
101 RIVERVALE WALK,1.382764288935955,103.8992720359138
101 SERANGOON NTH AVE 1,1.371036319880899,103.8703609108414
101 SIMEI ST 1,1.340849910733616,103.9514337175171
101 TAMPINES ST 11,1.34739870794536,103.9452923593267
101 TECK WHYE LANE,1.377889646239825,103.7542399095464
101 TOWNER RD,1.319425390407265,103.8610874626075
101 WHAMPOA DR,1.320417101876028,103.8538139464019
101 WOODLANDS ST 13,1.435982685401854,103.7819327474628
101 YISHUN AVE 5,1.430535753840807,103.8276677220736
101A BIDADARI PK DR,1.336854621676229,103.8709963136923
101A CANBERRA ST,1.451738928033243,103.8304541062801
101A LOR 2 TOA PAYOH,1.339741267191636,103.8472641873818
101A PUNGGOL FIELD,1.397946167769396,103.9059451362584
101B CANBERRA ST,1.451663103530798,103.8311749091653
101B LOR 2 TOA PAYOH,1.33959884500115,103.8476054144269
101B PUNGGOL FIELD,1.397847151043975,103.9064360712447
101C PUNGGOL FIELD,1.398090457871622,103.9065693056791
101D PUNGGOL FIELD,1.398484784835818,103.9061438869198
102 ALJUNIED CRES,1.320439030219692,103.8824204332443
102 ANG MO KIO AVE 3,1.370650092493771,103.8394103488106
102 BEDOK NTH AVE 4,1.333906547650014,103.9374583982039
102 BEDOK RESERVOIR RD,1.328491877276246,103.9092651557792
102 BISHAN ST 12,1.345143123347699,103.8479908052591
102 BT BATOK WEST AVE 6,1.347458339305473,103.7474733411134
102 BT PURMEI RD,1.271908423344237,103.8266716538914
102 C'WEALTH CRES,1.307824648780249,103.8006297871764
102 CLEMENTI ST 14,1.322285572259047,103.7692018843588
102 GANGSA RD,1.379107628313055,103.768153816778
102 HENDERSON CRES,1.290366187147006,103.8215770844501
102 HOUGANG AVE 1,1.354964462938841,103.8908550546868
102 JLN DUSUN,1.327868743184702,103.8442096028628
102 JLN RAJAH,1.328223064447614,103.8515197538446
102 JURONG EAST ST 13,1.336096578735534,103.7382191916623
102 LENGKONG TIGA,1.325579307146586,103.9106575478897
102 PASIR RIS ST 12,1.367484273365174,103.9580410551246
102 POTONG PASIR AVE 1,1.333690127375901,103.8688105875061
102 RIVERVALE WALK,1.381807610260469,103.9008932297075
102 SERANGOON NTH AVE 1,1.370843272977367,103.8711536067189
102 SIMEI ST 1,1.341347249762522,103.9513550749272
102 TAMPINES ST 11,1.346716162676569,103.9455213882849
102 TECK WHYE LANE,1.377082841384992,103.7543944320362
102 TOWNER RD,1.320586094569071,103.8620020151442
102 WOODLANDS ST 13,1.436082949251491,103.781199565987
102A BIDADARI PK DR,1.337355900059674,103.8713906574537
102A CANBERRA ST,1.451193905194954,103.8322275546353
102A PUNGGOL FIELD,1.398833183134255,103.905783553043
102B BIDADARI PK DR,1.33622045424377,103.8718470665178
102B CANBERRA ST,1.451239704243683,103.8314363651199
102B PUNGGOL FIELD,1.399085257786717,103.905471407838
102C PUNGGOL FIELD,1.398761277506082,103.9049389731799
102D PUNGGOL FIELD,1.398480707954366,103.9052497524584
103 AH HOOD RD,1.327962674837856,103.844826964123
103 ANG MO KIO AVE 3,1.371016578046052,103.839304839187
103 BEDOK NTH AVE 4,1.333482587777599,103.9375425200911
103 BEDOK RESERVOIR RD,1.328770222320206,103.9093813544311
103 BISHAN ST 12,1.345512491321055,103.8483141623863
103 BT BATOK CTRL,1.348223682042418,103.748034526478
103 BT PURMEI RD,1.27208558524995,103.8254956154021
103 CLEMENTI ST 14,1.322588547506287,103.7691762057986
103 GANGSA RD,1.37867070821172,103.7685384409562
103 HENDERSON CRES,1.289742096845459,103.8213756815688
103 HOUGANG AVE 1,1.355282234344045,103.8903601482398
103 JLN RAJAH,1.327341433335403,103.8527806503651
103 JURONG EAST ST 13,1.336687150157883,103.7380592002843
103 LENGKONG TIGA,1.32585546338587,103.9105989109745
103 PASIR RIS ST 12,1.367695081238534,103.9584042099925
103 POTONG PASIR AVE 1,1.334113386767075,103.8695237166394
103 RIVERVALE WALK,1.382911467121096,103.9012085833131
103 SERANGOON NTH AVE 1,1.370673530475235,103.8702639242961
103 SPOTTISWOODE PK RD,1.274660969257213,103.8352798248363
103 TAMPINES ST 11,1.347696625355577,103.946229920882
103 TECK WHYE LANE,1.377130782462758,103.7535559937606
103 TOWNER RD,1.320643815122853,103.8616340811473
103 WOODLANDS ST 13,1.436621232096801,103.7809767398094
103 YISHUN RING RD,1.431369349518775,103.8288928471629
103A BIDADARI PK DR,1.33560960429896,103.8717275973132
103A CANBERRA ST,1.451030061324245,103.8305340087113
103A DEPOT RD,1.280701976426892,103.8133534286815
103A EDGEFIELD PLAINS,1.398255317839824,103.9047539963806
103B BIDADARI PK DR,1.335089454203733,103.8713372798048
103B CANBERRA ST,1.450565994654414,103.831238741555
103B DEPOT RD,1.280736923845961,103.8131356785619
103B EDGEFIELD PLAINS,1.397731275384035,103.9046853741495
103C EDGEFIELD PLAINS,1.397266608453886,103.9045383630797
104 ALJUNIED CRES,1.3200688659523,103.8828181116504
104 BEDOK NTH AVE 4,1.333298521247402,103.9366014736429
104 BEDOK RESERVOIR RD,1.32924536652387,103.909923721507
104 BISHAN ST 12,1.345675021119711,103.8480329057601
104 BT BATOK CTRL,1.348995002555493,103.7472582186053
104 BT PURMEI RD,1.272398535878593,103.8256255041818
104 CLEMENTI ST 14,1.322949685127238,103.7691891522658
104 GANGSA RD,1.378803994861523,103.7679687565394
104 HENDERSON CRES,1.289369274893528,103.8215380895691
104 JLN DUSUN,1.32842530547543,103.8441423650333
104 JLN RAJAH,1.327804969614578,103.8532622845638
104 JURONG EAST ST 13,1.336584653118026,103.7376233038413
104 LENGKONG TIGA,1.325634967450219,103.9098151983266
104 PASIR RIS ST 12,1.36795278578739,103.9587026425122
104 POTONG PASIR AVE 1,1.334339168920311,103.8691588993025
104 RIVERVALE WALK,1.382627458649865,103.9009298772128
104 SERANGOON NTH AVE 1,1.370593161939542,103.871086801722
104 SPOTTISWOODE PK RD,1.274427546960637,103.8348787847112
104 TAMPINES ST 11,1.347205766510755,103.9466417500123
104 TECK WHYE LANE,1.377081621271888,103.7528704483007
104 TOWNER RD,1.319823544626457,103.8609797453633
104 WHAMPOA DR,1.320799591238311,103.8533277854204
104 WOODLANDS ST 13,1.43646587087027,103.7815768651679
104A ANG MO KIO ST 11,1.37182700854499,103.8388036558629
104A BIDADARI PK DR,1.335321977889235,103.8709339933374
104A CANBERRA ST,1.450352257808709,103.8322624005757
104A DEPOT RD,1.280455613305801,103.8123177407851
104A EDGEFIELD PLAINS,1.39680570477949,103.905054187798
104B ANG MO KIO ST 11,1.371511514160539,103.8384587875451
104B CANBERRA ST,1.450074217110703,103.8313770462269
104B DEPOT RD,1.280491439873796,103.812100811742
104B EDGEFIELD PLAINS,1.396608862042011,103.9053037924628
104C CANBERRA ST,1.449709994511643,103.8317759651267
104D CANBERRA ST,1.449856324377619,103.8323669795395
105 ALJUNIED CRES,1.319468620974661,103.8827514929437
105 ANG MO KIO AVE 4,1.372313282870736,103.837601112788
105 BEDOK NTH AVE 4,1.333688594579251,103.9364739035916
105 BEDOK RESERVOIR RD,1.32914437941095,103.9091127805758
105 BISHAN ST 12,1.345894936325064,103.8473652527665
105 BT BATOK CTRL,1.348572654200518,103.7471562237837
